TICKER;QTE;SENS
ENEL IM;2981.0;S
IBE SQ;2283.0;S
ELE SQ;833.0;S
CMBN SE;192.0;S
NEXI IM;1869.0;S
ACKB BB;4.0;S
AD NA;895.0;B
AED BB;4.0;S
AGS BB;12.0;B
AKZA NA;10.0;S
ALO FP;32.0;S
ALT FP;1410.0;B
AOX GY;14.0;S
AT1 GY;36.0;S
BARN SE;1.0;S
BEI GY;2.0;S
COB LN;4.0;S
COFB BB;3.0;B
COL SQ;1757.0;B
COLR BB;430.0;B
COV FP;2.0;S
DTE GY;58.0;B
EDP PL;278.0;S
ELI BB;15.0;S
ELISA FH;7.0;S
GALE SE;1.0;B
GPOR LN;1.0;S
HELN SE;1.0;S
HNR1 GY;3.0;S
MUV2 GY;1.0;S
NESN SE;1.0;S
NG/ LN;1.0;S
OSR GY;452.0;B
PGHN SE;2.0;S
PSPN SE;5.0;S
ROG SE;1.0;S
SCHA NO;4.0;S
SCR FP;21.0;B
SLHN SE;1.0;B
SPSN SE;11.0;S
SSE LN;2.0;S
WDP BB;10.0;S
WIE AV;47.0;S
ZURN SE;1.0;S
